"Symbol","% Chng","Chng","Day","LTP","Day","Prev","Day","Volume","Turnover (INR mn)","52w","52w"
"","","","LOW","","HIGH","Close","Open","(Quantity Mn)","","LOW","High"
"ADANIPORTS","-0.08%","-1.15","1,338.60","1,351.95","1,367.30","1,353.10","1,353.10","1.4","1.9","785","1,621.40"
"APOLLOHOSP","-0.20%","-14.85","7,380.00","7,410.00","7,545.00","7,424.85","7,390.05","1.03","7.7","5,087.45","7,545.00"
"ASIANPAINT","-2.67%","-75.85","2,762.40","2,767.00","2,847.00","2,842.85","2,842.85","2.06","5.75","2,670.10","3,422.95"
"AXISBANK","0.13%","1.5","1,151.10","1,161.40","1,167.75","1,159.90","1,156.00","3.79","4.39","980.35","1,339.65"
"BAJAJ-AUTO","0.46%","45.45","9,777.25","9,902.10","9,991.05","9,856.65","9,856.65","0.27","2.7","5,349.05","12,774.00"
"BAJAJFINSV","0.48%","8.3","1,717.00","1,738.00","1,743.50","1,729.70","1,739.00","0.87","1.51","1,419.05","2,029.90"
"BAJFINANCE","-0.44%","-30.5","6,841.00","6,874.00","6,951.55","6,904.50","6,904.50","0.42","2.93","6,187.80","7,830.00"
"BEL","-1.12%","-3.35","295.75","297","304.5","300.35","300.35","22.94","6.88","137.05","340.5"
"BHARTIARTL","-0.35%","-5.5","1,558.85","1,570.30","1,579.50","1,575.80","1,571.00","3.1","4.86","929","1,779.00"
"BPCL","-1.59%","-5","306.8","310","315.1","315","315","9.3","2.88","187.03","376"
"BRITANNIA","0.99%","56.25","5,641.55","5,745.15","5,792.85","5,688.90","5,682.20","0.31","1.75","4,621.00","6,469.90"
"CIPLA","0.91%","14.4","1,568.70","1,590.55","1,597.75","1,576.15","1,575.10","1.72","2.72","1,164.55","1,702.05"
"COALINDIA","-2.72%","-11.85","421.25","423.5","436","435.35","435.35","9.93","4.23","314.55","543.55"
"DRREDDY","-0.57%","-7.35","1,259.15","1,280.00","1,293.00","1,287.35","1,292.80","1.33","1.69","1,074.00","1,421.49"
"EICHERMOT","-1.76%","-85.8","4,755.35","4,792.20","4,877.95","4,878.00","4,875.00","0.19","0.94","3,502.10","5,105.00"
"GRASIM","-0.83%","-21.25","2,540.00","2,541.45","2,581.70","2,562.70","2,565.00","0.56","1.43","1,913.85","2,877.75"
"HCLTECH","0.33%","6.05","1,828.05","1,838.00","1,854.15","1,831.95","1,838.95","1.52","2.8","1,235.00","1,888.50"
"HDFCBANK","0.31%","5.35","1,745.85","1,751.90","1,761.80","1,746.55","1,752.00","9.95","17.46","1,363.55","1,794.00"
"HDFCLIFE","-0.66%","-4.7","707","707","719.85","711.7","709.5","1.27","0.91","511.4","761.2"
"HEROMOTOCO","-1.10%","-53","4,735.95","4,763.00","4,832.00","4,816.00","4,830.00","0.33","1.59","3,095.15","6,246.25"
"HINDALCO","0.12%","0.8","647","648.9","660.45","648.1","654.75","7.89","5.16","478.15","772.65"
"HINDUNILVR","1.19%","29.5","2,467.30","2,505.00","2,515.25","2,475.50","2,483.95","1.7","4.25","2,172.05","3,035.00"
"ICICIBANK","-1.54%","-19.7","1,252.70","1,259.00","1,275.00","1,278.70","1,270.00","11.2","14.11","914.75","1,362.35"
"INDUSINDBK","-0.45%","-4.8","1,048.05","1,052.00","1,061.45","1,056.80","1,061.45","2.11","2.22","1,018.10","1,694.50"
"INFY","1.27%","22.9","1,813.15","1,825.95","1,840.60","1,803.05","1,818.00","4.21","7.72","1,358.35","1,991.45"
"ITC","0.19%","0.9","474.6","478.8","480.7","477.9","477.9","6.09","2.91","399.35","528.5"
"JSWSTEEL","0.53%","5.2","976.5","995","1,001.55","989.8","994","3.57","3.53","745","1,063.00"
"KOTAKBANK","0.12%","2.1","1,738.90","1,749.00","1,764.10","1,746.90","1,745.00","3.65","6.38","1,543.85","1,942.00"
"LT","0.10%","3.5","3,620.65","3,650.05","3,667.00","3,646.55","3,640.40","1.62","5.93","2,961.00","3,919.90"
"M&M","2.40%","69.25","2,851.25","2,960.60","2,990.95","2,891.35","2,910.00","4.46","13.06","1,474.00","3,222.10"
"MARUTI","0.02%","1.85","11,125.60","11,302.00","11,344.00","11,300.15","11,260.50","0.27","3.04","9,737.65","13,680.00"
"NESTLEIND","1.38%","31.3","2,258.80","2,294.15","2,298.00","2,262.85","2,270.00","0.83","1.91","2,216.00","2,778.00"
"NTPC","-1.93%","-7.8","395.55","396","404.2","403.8","403.15","7.54","3","235.8","448.45"
"ONGC","-1.47%","-3.9","259.65","261.3","266.5","265.2","265.95","7.84","2.05","188.15","345"
"POWERGRID","0.50%","1.55","308.7","314.5","317.55","312.95","311.85","15.74","4.95","205.7","366.25"
"RELIANCE","-1.95%","-25.45","1,275.00","1,280.20","1,301.65","1,305.65","1,297.65","19.81","25.44","1,149.03","1,608.80"
"SBILIFE","-1.25%","-19.85","1,566.85","1,570.00","1,603.35","1,589.85","1,589.00","1.13","1.79","1,307.70","1,936.00"
"SBIN","-2.15%","-18.5","834.2","841.1","863.5","859.6","859.6","26.14","22.16","555.15","912"
"SHRIRAMFIN","-1.96%","-60.2","2,997.05","3,009.95","3,085.00","3,070.15","3,085.00","0.77","2.33","1,926.90","3,652.25"
"SUNPHARMA","0.78%","14","1,790.95","1,804.95","1,815.05","1,790.95","1,799.80","1.64","2.97","1,166.85","1,960.35"
"TATACONSUM","0.78%","7.65","975.4","992.5","997.3","984.85","989","0.97","0.96","887.62","1,256.44"
"TATAMOTORS","-1.98%","-16.2","801.1","803.55","822","819.75","821.95","16.07","12.98","641.9","1,179.00"
"TATASTEEL","-2.42%","-3.65","146.94","147.3","152","150.95","152","61.98","9.25","118.55","184.6"
"TCS","-0.37%","-15.25","4,117.65","4,135.65","4,169.75","4,150.90","4,155.00","1.65","6.83","3,322.35","4,592.25"
"TECHM","1.57%","26","1,650.05","1,677.00","1,686.45","1,651.00","1,660.00","1.88","3.16","1,117.20","1,761.85"
"TITAN","1.99%","62.15","3,106.00","3,183.00","3,192.90","3,120.85","3,121.00","1.72","5.43","3,055.65","3,886.95"
"TRENT","-3.50%","-227.5","6,270.00","6,278.00","6,563.15","6,505.50","6,550.00","2.52","16.03","2,391.05","8,345.00"
"ULTRACEMCO","-0.32%","-35.8","10,960.70","11,015.00","11,139.35","11,050.80","11,029.10","0.16","1.72","8,545.05","12,138.00"
"WIPRO","0.92%","5.2","565","568.6","578.8","563.4","565","95.38","5.97","377","579.9"
